COUNTYFIP,METRO,y2013,y2023,change,region_type
0,0,0.3540697805720379,0.9082427063651908,0.5541729257931529,Rural
1,4,0.26484339149139174,0.8842206151857168,0.6193772236943251,Urban
3,3,0.30028958739561146,0.9367547555972316,0.6364651682016202,Rural
5,3,0.33658036682701387,0.9173126737831677,0.5807323069561539,Rural
9,3,0.29837666327240386,0.9148168810969941,0.6164402178245902,Rural
11,3,0.3555992529940331,0.9324045342999263,0.5768052813058933,Rural
15,3,0.3269849810901978,0.9288326077319051,0.6018476266417073,Rural
17,3,0.3630809011375448,0.9285130473320409,0.565432146194496,Rural
20,2,0.21643109540636044,0.8612253289473671,0.6447942335410067,Urban
21,4,0.3066638648293844,0.913965485231413,0.6073016204020285,Urban
29,4,0.29835881512888085,0.9203397709158669,0.6219809557869861,Urban
33,4,0.3149592364390117,0.9205650177206811,0.6056057812816694,Urban
35,3,0.3159682760482123,0.9261337610560731,0.6101654850078608,Rural
37,3,0.3573988197776777,0.9425949036806011,0.5851960839029233,Rural
39,3,0.33821528764354014,0.9200924190714359,0.5818771314278958,Rural
41,4,0.3396172198062271,0.9214248633377553,0.5818076435315283,Urban
43,3,0.33667939292966054,0.9416376133770022,0.6049582204473417,Rural
47,2,0.3624504089512529,0.9298152186088529,0.56736480965759994,Urban
49,4,0.36399409074717165,0.9011497487192899,0.5371556579721182,Urban
51,4,0.33092795163950817,0.8830968329990618,0.5521688813595537,Urban
53,4,0.36412938172333226,0.9202287984244144,0.5560994167010822,Urban
55,4,0.3054821460606993,0.9251499444617032,0.6196677984010039,Urban
57,4,0.3585101495426006,0.9410336838909041,0.5825235343483035,Urban
59,4,0.28856114660270904,0.913181844898419,0.62462069829571,Urban
67,4,0.3357846617089506,0.9324409040130284,0.5966562423040778,Urban
69,4,0.4072878228782288,0.9243615866498882,0.5170737637716594,Urban
73,4,0.3237956106139505,0.9146307698889987,0.5908351592750483,Urban
75,2,0.31014833855627455,0.8911028739786744,0.5809545354223998,Urban
79,4,0.2652003549123426,0.8746172407150274,0.6094168858026848,Urban
83,4,0.29187426962809615,0.8875163663367874,0.5956420967086913,Urban
85,2,0.33108866451267405,0.930045779908538,0.5989571153958639,Urban
87,3,0.30650333328767015,0.9104856539528274,0.6039823206651573,Rural
95,4,0.31007558328041385,0.9238054770327494,0.6137298937523356,Urban
97,4,0.34592063911773846,0.9410205975552547,0.5950999584375163,Urban
99,3,0.4174462100196589,0.9503357093647373,0.5328894993450783,Rural
101,2,0.3206499968306261,0.8813091560960321,0.560659159265406,Urban
103,3,0.30844822935836275,0.9301276945938877,0.6216794652355249,Rural
105,4,0.2978169277879608,0.8859796467647206,0.5881627189767598,Urban
107,3,0.4099762774697679,0.935846242861684,0.5258699653919161,Rural
109,4,0.33805691724472736,0.8659082028532531,0.5278512856085258,Urban
111,4,0.3903176982362794,0.9544409759543782,0.5641232777180988,Urban
113,4,0.35092913252811714,0.9179067914191545,0.5669776588910374,Urban
115,4,0.40523494144504907,0.9474655613745592,0.5422306199295102,Urban
119,4,0.3994764565462376,0.9134447881773026,0.513968331631065,Urban
121,4,0.37413308304026865,0.9244657267098344,0.5503326436695657,Urban
129,3,0.29116465863453816,0.9315175774451804,0.6403529188106423,Rural
133,4,0.32868780822850063,0.925240973027462,0.5965531647989614,Urban
135,3,0.3842332859818409,0.9229967016591256,0.5387634156772847,Rural
139,4,0.3762718948626142,0.9104389744500119,0.5341670795873976,Urban
141,4,0.3577993310155921,0.9137210345335244,0.5559217035179322,Urban
143,4,0.3048099945933421,0.9099823769143057,0.6051723823209636,Urban
145,4,0.3786128053452662,0.906921618204803,0.5283088128595368,Urban
147,3,0.37866889080481303,0.9093034561296078,0.5306345653247948,Rural
149,4,0.3364864864864865,0.9458924103419497,0.6094059238554632,Urban
151,3,0.40606530732860513,0.9438304975480033,0.5377651902193982,Rural
153,4,0.35556115369366986,0.9387595287986638,0.5831983751049938,Urban
157,4,0.34521883270551207,0.9141377272684457,0.5689188945629335,Urban
159,3,0.22311827956989244,0.8871197718631187,0.6640014922932262,Rural
163,4,0.338407881983166,0.9236655243763523,0.5852576423931863,Urban
165,3,0.36258834265299783,0.9538929969037222,0.5913046542507243,Rural
167,4,0.35141049479785,0.9096124300127661,0.5582019352149161,Urban
169,1,0.35668103448275856,0.9147916666666671,0.5581106321839086,Rural
179,3,0.3626900353729208,0.9365612648221354,0.5738712294492145,Rural
183,4,0.32913743714370836,0.9293712951241454,0.600233857980437,Urban
185,4,0.24038461538461556,0.8692865105908588,0.6289018952062433,Urban
187,4,0.47103140077513256,0.962646825791523,0.4916154250163905,Urban
189,3,0.41930681668640607,0.9426061484398446,0.5232993317534385,Rural
191,4,0.33047945205479456,0.8742004264392339,0.5437209743844393,Urban
197,3,0.4298561151079138,0.9580258302583037,0.5281697151503899,Rural
201,4,0.43529688972667285,0.9552542319650653,0.5199573422383925,Urban
215,4,0.40692821368948234,0.9513899795822228,0.5444617658927404,Urban
223,3,0.416058394160584,0.9752513534416085,0.5591929592810245,Rural
227,4,0.3178137651821863,0.8789828431372542,0.5611690779550679,Urban
245,4,0.22531034856616255,0.8161131870584739,0.5908028384923114,Urban
251,3,0.5258810572687226,0.9564051918735902,0.4305241346048676,Rural
257,3,0.48151408450704236,0.9623241795043539,0.48081009499731153,Rural
303,4,0.3345588235294118,0.909470963818789,0.5749121402893772,Urban
309,4,0.3745519713261649,0.9077851790174882,0.5332332076913233,Urban
313,4,0.36479591836734687,0.9501329787234046,0.5853370603560577,Urban
329,4,0.35051546391752575,0.9480069324090117,0.5974914684914859,Urban
339,4,0.41350210970464146,0.9720529340066161,0.5585508243019746,Urban
355,2,0.382396449704142,0.9262143121987406,0.5438178624945986,Urban
367,3,0.5272058823529411,0.964784633294529,0.43757875094158794,Rural
375,4,0.3308823529411764,0.8469696969696986,0.5160873440285222,Urban
381,4,0.41,0.9324845679012348,0.5224845679012349,Urban
423,4,0.41957605985037405,0.9091019417475702,0.48952588189719615,Urban
439,4,0.425196850393701,0.9501448710090847,0.5249480206153838,Urban
441,4,0.35063897763578294,0.8620871398453972,0.5114481622096143,Urban
451,4,0.28734439834024905,0.902482269503546,0.615137871163297,Urban
453,4,0.3878224355128974,0.9483303878708949,0.5605079523579974,Urban
479,4,0.3071142284569137,0.9563666300768396,0.6492524016199259,Urban
485,4,0.2905727923627685,0.834652443220921,0.5440796508581525,Urban
510,2,0.3058214363633083,0.9050027714650756,0.5991813351017673,Urban
700,2,0.22565543071161046,0.9042145593869741,0.6785591286753637,Urban
760,2,0.24449339207048446,0.8684584755403834,0.6239650834698989,Urban
810,2,0.2782426778242678,0.951715931863726,0.6734732540394582,Urban
