YEAR,std_dev
2013,0
2014,0
2015,0
2016,0.03742978852332481
2017,0.03744087308485355
2018,0.036874827493007196
2019,0.03130326574021757
2020,0.04286662771482959
2021,0.03384694601426667
2022,0.0328548889809875
2023,0.030291968949334017
